step,population,wellbeing,unmet basic needs,average trust,average autonomy,average health,average education,average truth error,planetary overshoot,mean boundary pressure,worst boundary,worst boundary pressure,waste stock,repair materials,food stock,water stock,energy stock,global transfers,contribution time,contribution time per person,satisfaction inequality,resilience index,circularity index,coordination quality,basic buffer months,macro capacity,planetary reproduction index
91,8220661679.707,0.954967,0.033569,0.999679,0.879699,0.834368,0.93146,0.02,0.0,0.621803,energy throughput,0.98934,176775002.21,15382883644.516,5088973439.869,2847485608.414,1717051206.069,2962215018.561,4627594622.691,0.562922,0.03136,0.848257,0.988639,0.863551,0.391433,2078211020060.818,0.951957
92,8222276634.173,0.956007,0.032592,0.99976,0.881835,0.837971,0.93376,0.02,0.0,0.619664,energy throughput,0.990708,176747761.789,15626210632.052,5523988306.202,3129264023.317,1798187985.057,2883161046.11,4645066034.99,0.564937,0.030779,0.850706,0.988816,0.863579,0.423704,2109904907477.231,0.952704
93,8223898310.972,0.956995,0.031731,0.999839,0.883971,0.841544,0.935988,0.02,0.0,0.61751,energy throughput,0.992069,176727291.757,15873469951.393,5960547959.584,3439538368.646,1876654345.985,2812585184.212,4662570824.93,0.566954,0.03023,0.85295,0.988989,0.863607,0.457072,2141864460530.267,0.953393
94,8225526046.431,0.957889,0.031048,0.999896,0.886103,0.844942,0.938151,0.02,0.0,0.61534,energy throughput,0.993424,176713242.242,16124463851.739,6402798955.634,3748737051.68,1956902071.543,2751295917.899,4679461475.442,0.568895,0.029751,0.855006,0.989159,0.863627,0.490685,2174098963819.476,0.953998
95,8227159762.079,0.958806,0.030267,0.999919,0.888232,0.848218,0.940272,0.02,0.0,0.613156,energy throughput,0.994773,176693550.511,16379175621.842,6855824488.246,4080397727.941,2033557315.253,2685721324.608,4695901764.374,0.57078,0.02922,0.857131,0.989327,0.863635,0.525486,2206592125280.838,0.954636
96,8228799411.395,0.959711,0.029495,0.999936,0.89034,0.851467,0.942391,0.02,0.0,0.610957,energy throughput,0.996115,176679552.874,16637977822.709,7323843417.237,4415629472.626,2108620720.066,2622245443.038,4712105514.086,0.572636,0.028698,0.859174,0.989493,0.863642,0.56096,2239334885925.467,0.955261
97,8230444897.679,0.960585,0.028774,0.999953,0.892396,0.854684,0.944493,0.02,0.0,0.608742,energy throughput,0.997452,176674131.955,16900948679.06,7806938006.807,4738204058.795,2183462103.534,2563018733.103,4727986644.311,0.574451,0.028232,0.861185,0.989655,0.863648,0.596509,2272329327735.633,0.955863
98,8232096317.207,0.961438,0.028096,0.99997,0.894437,0.857881,0.946511,0.02,0.0,0.606513,energy throughput,0.998785,176673277.568,17168031181.813,8297485323.436,5055943936.195,2263892542.505,2507026545.373,4743778133.961,0.576254,0.027731,0.863201,0.989814,0.863654,0.632375,2305571762915.164,0.956449
99,8233753724.322,0.962304,0.027362,0.999987,0.896459,0.861042,0.948491,0.02,0.000114,0.604271,energy throughput,1.000114,176677513.171,17439311563.225,8802589921.172,5378855780.738,2344752647.255,2447085223.953,4759502949.465,0.578048,0.027214,0.865297,0.989971,0.863661,0.669043,2339062639345.718,0.957051
100,8235417070.878,0.96305,0.026775,1.0,0.898472,0.864139,0.950338,0.02,0.00144,0.602018,energy throughput,1.00144,176686376.277,17714678061.095,9342739142.427,5725674453.439,2417758122.18,2398308954.511,4775100382.643,0.579825,0.026762,0.86763,0.990124,0.863666,0.707763,2372780662300.57,0.957531
101,8237085913.824,0.963726,0.026317,1.0,0.900457,0.867112,0.952122,0.02,0.002767,0.599756,energy throughput,1.002767,176704826.666,17993669386.046,9924671932.028,6076865988.856,2492495323.993,2356602990.334,4790148952.34,0.581534,0.026419,0.870092,0.990275,0.863666,0.748405,2406701925988.895,0.957971
102,8238760392.822,0.964505,0.025592,1.0,0.902411,0.870012,0.953883,0.02,0.004092,0.597485,energy throughput,1.004092,176718830.173,18276356776.571,10553060555.918,6449660556.546,2570385678.371,2294604639.707,4804863188.847,0.583202,0.025897,0.872355,0.990423,0.863667,0.791911,2440831794616.726,0.958485
103,8240440207.531,0.965208,0.025031,1.0,0.904346,0.872856,0.955621,0.02,0.005419,0.595201,energy throughput,1.005419,176732848.198,18562837816.421,11184889740.162,6797555945.834,2657836371.162,2244272801.98,4819536941.554,0.584864,0.025406,0.874352,0.990569,0.863667,0.834918,2475186981750.403,0.958917
104,8242125230.587,0.965851,0.024606,1.0,0.90628,0.875696,0.957343,0.02,0.006745,0.592906,energy throughput,1.006745,176750445.648,18852920358.084,11821072038.293,7135051556.278,2744482968.149,2204320572.943,4834252845.421,0.58653,0.025013,0.876247,0.990712,0.863668,0.87763,2509754271580.773,0.959294
105,8243815643.709,0.966476,0.024226,1.0,0.908212,0.878541,0.958973,0.02,0.008071,0.5906,energy throughput,1.008071,176767963.391,19146551198.059,12459130114.751,7477896887.888,2830398773.054,2167608966.176,4849023990.52,0.588201,0.024593,0.87813,0.990852,0.863669,0.920586,2544521958564.012,0.959655
106,8245511554.96,0.96709,0.023863,1.0,0.910117,0.881379,0.960539,0.02,0.009396,0.588285,energy throughput,1.009396,176785865.411,19443674981.928,13104479472.2,7830723911.57,2915074637.603,2132224670.313,4863738200.091,0.589865,0.024225,0.88004,0.99099,0.863669,0.964172,2579487817218.038,0.96001
107,8247212961.043,0.967697,0.023501,1.0,0.911995,0.884171,0.962052,0.02,0.010722,0.586101,energy throughput,1.010722,176805097.236,19744263369.937,13762885056.312,8208487297.162,2997939174.216,2096752329.494,4878331750.981,0.591513,0.023828,0.882037,0.991125,0.86367,1.009202,2614643645674.944,0.960369
108,8248919592.844,0.968276,0.023174,1.0,0.913858,0.886869,0.963545,0.02,0.012048,0.584753,energy throughput,1.012048,176830639.216,20048290155.404,14436295982.331,8594241852.829,3081622249.854,2064115255.502,4892495433.074,0.593107,0.023469,0.88409,0.991257,0.86367,1.055175,2649996384116.76,0.960717
109,8250631154.47,0.968852,0.022823,1.0,0.915721,0.889446,0.965029,0.02,0.013375,0.583398,energy throughput,1.013375,176853277.869,20355727742.417,15114088588.92,8986727118.578,3167388778.417,2029765125.273,4906231821.786,0.594649,0.023101,0.886129,0.991387,0.863671,1.101661,2685543369116.912,0.961067
110,8252347437.006,0.969421,0.022466,1.0,0.917581,0.891942,0.966507,0.02,0.014703,0.582036,energy throughput,1.014703,176873921.778,20666561597.17,15797048717.266,9385819449.579,3256627418.736,1994948441.392,4919721984.349,0.59616,0.022732,0.888074,0.991514,0.863671,1.148744,2721275344016.822,0.961409
111,8254068434.101,0.969969,0.022145,1.0,0.919408,0.894413,0.967936,0.02,0.016032,0.580668,energy throughput,1.016032,176895976.021,20980816632.153,16485914420.325,9786485519.256,3349936234.039,1963120762.79,4932997179.068,0.597644,0.02237,0.890063,0.991639,0.863672,1.196272,2757189661576.958,0.96174
112,8255794192.777,0.970535,0.021758,1.0,0.921184,0.896873,0.969357,0.02,0.017362,0.579294,energy throughput,1.017362,176911956.667,21298453350.238,17180728229.913,10196193951.736,3447728189.175,1927917378.503,4946013072.783,0.599096,0.021999,0.891819,0.991762,0.863672,1.244566,2793280091258.329,0.962072
113,8257524825.21,0.971171,0.021191,1.0,0.922943,0.899295,0.97077,0.02,0.018692,0.577915,energy throughput,1.018692,176907681.148,21619501883.884,17873609873.115,10628075857.482,3549701033.598,1879866621.772,4958929029.779,0.600535,0.021564,0.893046,0.991884,0.863672,1.293825,2829544987854.046,0.962423
114,8259260264.399,0.971795,0.020636,1.0,0.924685,0.901674,0.972152,0.02,0.02002,0.576531,energy throughput,1.02002,176904305.356,21943851389.693,18572430820.809,11100465363.639,3654269321.09,1832999985.888,4971664369.043,0.60195,0.021139,0.894425,0.992003,0.863673,1.345042,2865970987342.246,0.962779
115,8261000568.386,0.972433,0.020042,1.0,0.926409,0.904031,0.973503,0.02,0.021348,0.575142,energy throughput,1.021348,176896131.505,22271496922.54,19279791670.652,11597692466.363,3764372138.459,1783110231.368,4984323675.358,0.603356,0.020699,0.895804,0.99212,0.863673,1.397807,2902560569242.06,0.963147
116,8262745848.666,0.973064,0.019455,1.0,0.928109,0.906383,0.974797,0.02,0.022675,0.573747,energy throughput,1.022675,176888925.855,22602467228.044,20010667700.439,12105316898.955,3877496982.596,1733732870.917,4996971325.089,0.604759,0.020252,0.897447,0.992235,0.863674,1.452039,2939315583249.476,0.963533
117,8264496091.295,0.973688,0.018869,1.0,0.929805,0.908669,0.976017,0.02,0.024001,0.572348,energy throughput,1.024001,176882766.547,22936696378.246,20760343636.349,12629809474.352,3994816138.152,1684321663.496,5009609843.055,0.60616,0.019804,0.899155,0.992347,0.863674,1.507854,2976229678494.226,0.963922
118,8266251043.224,0.974213,0.018497,1.0,0.931472,0.910916,0.97719,0.02,0.025328,0.570943,energy throughput,1.025328,176896415.779,23274283935.487,21520577328.136,13163261229.302,4116284418.508,1650803662.532,5022172986.207,0.607551,0.019434,0.900767,0.992457,0.863674,1.5646,3013311012905.078,0.964226
119,8268010646.766,0.974677,0.018242,1.0,0.933044,0.913147,0.978305,0.02,0.026657,0.569533,energy throughput,1.026657,176921628.986,23615283742.693,22333468764.512,13710680105.679,4236788121.597,1625782623.612,5034344798.697,0.608894,0.019119,0.902653,0.992564,0.863675,1.623967,3050562209949.25,0.964508
120,8269775213.896,0.97523,0.017777,1.0,0.934591,0.915381,0.979397,0.02,0.027988,0.568117,energy throughput,1.027988,176944553.214,23959553709.47,23136573348.181,14252083231.73,4365620527.738,1584897573.937,5046469613.816,0.610231,0.018675,0.904332,0.992669,0.863675,1.683007,3087988032970.184,0.964845
