id,name,country,currency,deposits,loans,reserves,equity,capital_ratio,risk_appetite,reputation,truth_score,truth_positive,truth_debt,top_truth_layers
agent_429c5f6844,Civitas MER Bank 111,Meridmark,MER,1218930.7059,1485290.2004,30793.1227,331362.0624,0.223096,0.575963,0.410901,184.0878,184.0878,0.0,"{legal=+139.80, liquidity=+9.09, social=+7.91, temporal=+0.13}"
agent_dbb4a62683,Iron LUM Bank 112,Lumerterra,LUM,1152331.7321,1326917.4788,34635.3907,525586.3202,0.396096,0.466137,0.693767,834.608,834.608,0.0,"{legal=+625.33, liquidity=+51.08, social=+36.50, temporal=+0.34}"
agent_66bf5158e1,Nova SEL Bank 113,Selenreich,SEL,566376.826,686273.2633,22730.2161,496861.3746,0.723999,0.396428,0.826538,225.057,225.057,0.0,"{legal=+171.68, social=+10.15, liquidity=+9.83, temporal=+0.09}"
agent_745a099b01,Prism IST Bank 114,Istrpolis,IST,70314.9651,76442.9915,3066.0016,62443.1309,0.816859,0.504527,0.56495,119.5019,119.5019,0.0,"{legal=+90.93, liquidity=+7.17, social=+3.57, temporal=+0.01}"
agent_1aa91a6d57,Astra LUM Bank 115,Lumerterra,LUM,475205.5369,565012.8014,22350.2436,493970.9441,0.874265,0.328807,0.827377,931.986,931.986,0.0,"{legal=+703.38, liquidity=+53.62, social=+37.91, temporal=+0.21}"
agent_234e322160,Terra ULM Bank 116,Ulmarreich,ULM,851076.1839,840563.4065,22828.967,341932.5978,0.40679,0.800212,0.565325,1791.4167,1791.4167,0.0,"{legal=+1346.26, liquidity=+125.86, social=+55.33, temporal=+0.29}"
agent_93b3fa47e3,Nexus YMI Bank 117,Ymirterra,YMI,34821.767,36286.4228,1098.1556,50801.2345,1.400007,0.575184,0.603762,68.5516,68.5516,0.0,"{legal=+51.65, liquidity=+4.80, social=+1.95, temporal=+0.01}"
agent_a297db5001,Green HEL Bank 118,Helioia,HEL,286256.7062,331993.7415,13270.3677,283897.8443,0.85513,0.656205,0.684108,446.164,446.164,0.0,"{legal=+341.51, liquidity=+21.07, social=+16.93, temporal=+0.05}"
agent_c2dc7c4e58,Meridian HEL Bank 119,Helioia,HEL,237963.6078,238313.4921,5020.8387,269169.0933,1.129475,0.302813,0.684663,275.2288,275.2288,0.0,"{legal=+205.54, liquidity=+20.77, social=+8.64, temporal=+0.04}"
agent_bd1be5209a,Signal ARC Bank 120,Arcmere,ARC,75760.5205,77126.8797,2498.0962,57499.9349,0.745524,0.355415,0.718161,74.8823,74.8823,0.0,"{legal=+55.06, liquidity=+7.80, social=+1.11, temporal=+0.00}"
agent_e62d2aba49,Prism FAR Bank 121,Faronreich,FAR,136076.4094,154296.4951,6775.3469,140860.3466,0.91292,0.25829,0.584281,153.9357,153.9357,0.0,"{legal=+112.35, liquidity=+17.80, social=+1.46, temporal=+0.01}"
agent_480e8cd8f0,Vector JOR Bank 122,Jorvikmark,JOR,248043.7052,296904.3943,7264.1737,234872.2823,0.79107,0.581552,0.545764,940.3114,940.3114,0.0,"{legal=+720.02, liquidity=+41.28, social=+38.73, temporal=+0.17}"
agent_a8344c0935,Nova CAS Bank 123,Caspesia,CAS,622995.4217,756138.426,26169.8866,323264.6454,0.42752,0.506675,0.580967,3296.7319,3296.7319,0.0,"{legal=+2478.15, social=+171.96, liquidity=+166.67, temporal=+1.79}"
agent_00dee5e091,Kinetic AUR Bank 124,Aurelterra,AUR,181825.0201,214845.8545,4362.9096,233599.8119,1.08729,0.555521,0.407741,482.796,482.796,0.0,"{legal=+364.88, social=+25.58, liquidity=+21.64, temporal=+0.33}"
agent_bcf840fb11,Vertex ELD Bank 125,Eldorland,ELD,588321.7689,710326.5043,20498.1001,313122.6407,0.440815,0.826567,0.503171,1302.4675,1302.4675,0.0,"{legal=+986.19, social=+63.55, liquidity=+61.37, temporal=+0.56}"
agent_fcb55be89f,Green YMI Bank 126,Ymirterra,YMI,48507.7987,58280.15,2235.2191,63073.0873,1.08224,0.630311,0.54294,115.4468,115.4468,0.0,"{legal=+85.60, liquidity=+10.41, social=+2.56, temporal=+0.01}"
agent_0193721c3f,Omni WES Bank 127,Westrmark,WES,233649.3299,275765.3223,8978.8279,194364.9366,0.70482,0.358068,0.66706,580.7405,580.7405,0.0,"{legal=+443.27, liquidity=+29.06, social=+21.86, temporal=+0.11}"
agent_be0d5d8d4a,Union BEL Bank 128,Belreich,BEL,776723.6187,920554.4145,45618.3752,297982.8192,0.323699,0.336858,0.547602,390.867,390.867,0.0,"{legal=+289.53, liquidity=+35.60, social=+8.63, temporal=+0.07}"
agent_71cb39c041,Nova HEL Bank 129,Helioia,HEL,126258.4263,116223.1706,10683.9683,340447.538,2.929257,0.2297,0.618838,169.9985,169.9985,0.0,"{legal=+127.01, liquidity=+14.50, social=+3.42, temporal=+0.01}"
agent_ce1aad1413,Nexus DAM Bank 130,Damaria,DAM,40071.3346,37806.668,860.0739,5934.8995,0.15698,0.755513,0.685325,22.4604,22.4604,0.0,"{legal=+16.47, liquidity=+2.18, social=+0.57, temporal=+0.01}"
agent_3ad2592293,Nexus SEL Bank 131,Selenreich,SEL,920429.1701,1099025.1774,31345.3516,480931.1097,0.437598,0.63697,0.697488,653.6187,653.6187,0.0,"{legal=+496.35, liquidity=+33.29, social=+27.25, temporal=+0.21}"
agent_15549e3605,Iron ORI Bank 132,Oriongrad,ORI,484868.4371,572939.5491,17542.2759,133127.9445,0.232359,0.785178,0.715992,536.8845,536.8845,0.0,"{legal=+408.51, liquidity=+26.00, social=+22.81, temporal=+0.17}"
agent_6e8aaf573b,Union BEL Bank 133,Belreich,BEL,902530.8476,1101119.8989,24649.3869,229448.6038,0.208377,0.707199,0.51248,1520.8176,1520.8176,0.0,"{legal=+1142.52, liquidity=+111.93, social=+41.92, temporal=+0.15}"
agent_1098e43feb,Vector YMI Bank 134,Ymirterra,YMI,161275.3316,189849.3282,8673.3,52327.3939,0.275626,0.658698,0.684634,267.8312,267.8312,0.0,"{legal=+202.86, liquidity=+15.35, social=+10.01, temporal=+0.05}"
agent_c0b817113f,Union DAM Bank 135,Damaria,DAM,16103.9865,13110.2727,1582.8775,5278.7174,0.40264,0.378097,0.634134,7.5968,7.5968,0.0,"{legal=+5.50, liquidity=+0.96, social=+0.04, temporal=+0.00}"
agent_96fe80b232,Terra XAN Bank 136,Xandland,XAN,134968.5455,161781.1035,4055.1726,202628.5675,1.252486,0.595081,0.581655,209.2494,209.2494,0.0,"{legal=+159.53, liquidity=+10.89, social=+7.67, temporal=+0.03}"
agent_2c7ca8110e,Atlas ELD Bank 137,Eldorland,ELD,392591.9214,443486.9568,14356.1288,326571.7692,0.736373,0.349511,0.610738,825.4465,825.4465,0.0,"{legal=+614.07, liquidity=+58.24, social=+33.23, temporal=+0.49}"
agent_226672265e,Atlas NOV Bank 138,Novaresia,NOV,614126.7084,679212.6709,34129.7766,456794.6786,0.672536,0.370408,0.54837,755.657,755.657,0.0,"{legal=+570.69, liquidity=+41.59, social=+32.29, temporal=+0.21}"
agent_7a986cca42,Blue NOV Bank 139,Novaresia,NOV,342025.6384,384781.6915,14907.3072,425116.2371,1.104824,0.550863,0.546382,559.3683,559.3683,0.0,"{legal=+422.90, liquidity=+34.40, social=+19.36, temporal=+0.08}"
agent_8a238862ee,Green FJE Bank 140,Fjellstan,FJE,1656757.041,2020462.2956,87163.3673,164521.1916,0.081427,0.786885,0.676683,98.8878,98.8878,0.0,"{legal=+76.08, liquidity=+4.07, social=+3.73, temporal=+0.19}"
agent_4cfb5c723c,Nova ARC Bank 141,Arcmere,ARC,94608.315,91877.0023,6937.6554,55795.2237,0.607282,0.79955,0.536096,164.1984,164.1984,0.0,"{legal=+124.43, liquidity=+10.39, social=+4.97, temporal=+0.01}"
agent_747100a5a3,Nexus VAL Bank 142,Valenesia,VAL,102134.1524,121283.2053,2780.636,121605.8119,1.00266,0.644605,0.587338,287.0588,287.0588,0.0,"{legal=+216.81, liquidity=+19.63, social=+8.05, temporal=+0.02}"
agent_5c3acabb20,Kinetic FJE Bank 143,Fjellstan,FJE,40664.6761,47070.469,1682.8408,143034.0349,3.038721,0.324945,0.611322,34.4199,34.4199,0.0,"{legal=+26.17, liquidity=+2.16, social=+0.95, temporal=+0.00}"
agent_4c7f184ee9,Prism DAM Bank 144,Damaria,DAM,6890.9818,8062.0817,481.319,4332.2733,0.537364,0.69389,0.558821,5.0409,5.0409,0.0,"{legal=+3.72, liquidity=+0.47, social=+0.11, temporal=+0.00}"
agent_e22087e472,Terra ORI Bank 145,Oriongrad,ORI,169469.549,167073.9859,4459.1769,131202.92,0.785298,0.603058,0.599432,225.809,225.809,0.0,"{legal=+169.47, liquidity=+15.35, social=+7.83, temporal=+0.05}"
agent_ec6fd873b3,Astra FJE Bank 146,Fjellstan,FJE,880705.6586,1073739.2206,38693.907,123402.7486,0.114928,0.390339,0.532542,33.0731,33.0731,0.0,"{legal=+25.42, liquidity=+1.33, social=+1.27, temporal=+0.12}"
agent_494719a9f7,Prism BOR Bank 147,Borealgrad,BOR,487693.8797,544648.8211,19656.9968,453025.0178,0.831775,0.28635,0.737511,383.0438,383.0438,0.0,"{legal=+282.84, liquidity=+36.63, social=+7.73, temporal=+0.07}"
agent_7c4c6e7ddb,Argent QUO Bank 148,Quorinreich,QUO,430537.5967,522737.4557,22080.3119,179317.3658,0.343035,0.570301,0.579849,245.7863,245.7863,0.0,"{legal=+187.70, liquidity=+11.61, social=+9.79, temporal=+0.14}"
agent_1ec2133fb1,Civitas ORI Bank 149,Oriongrad,ORI,191251.3522,228631.8878,4920.5398,137515.1454,0.60147,0.690943,0.719788,381.8516,381.8516,0.0,"{legal=+286.35, liquidity=+26.99, social=+12.41, temporal=+0.08}"
agent_dc7a53f09d,Meridian DAM Bank 150,Damaria,DAM,11478.1301,12111.8277,1254.475,5352.8904,0.441956,0.706313,0.693127,9.4703,9.4703,0.0,"{legal=+7.47, social=+0.41, liquidity=+0.13, temporal=+0.00}"
agent_4b36fe78c8,Prism GAL Bank 151,Galenheim,GAL,732113.492,792340.4184,26554.5719,283558.7526,0.357875,0.571406,0.671407,479.2266,479.2266,0.0,"{legal=+356.35, liquidity=+39.85, social=+12.95, temporal=+0.11}"
agent_d48a8a3a5f,Union RHE Bank 152,Rhengrad,RHE,512182.7045,619360.404,26903.8762,113837.8355,0.183799,0.816111,0.847795,1512.545,1512.545,0.0,"{legal=+1152.95, social=+69.32, liquidity=+66.10, temporal=+0.61}"
agent_fb0b376efa,Terra ZER Bank 153,Zerinreich,ZER,177806.9978,213477.5408,9613.1105,126941.2224,0.594635,0.639762,0.503618,264.4726,264.4726,0.0,"{legal=+202.15, liquidity=+11.98, social=+10.94, temporal=+0.08}"
agent_9fc3936946,Prism FAR Bank 154,Faronreich,FAR,351108.7159,384929.6354,9937.1676,156550.7827,0.4067,0.267131,0.655148,183.7848,183.7848,0.0,"{legal=+134.58, liquidity=+20.18, social=+2.29, temporal=+0.04}"
agent_6387049543,Sol ZER Bank 155,Zerinreich,ZER,107258.0651,129006.3437,5846.5931,124910.9196,0.968254,0.440603,0.659123,122.2655,122.2655,0.0,"{legal=+93.26, social=+5.55, liquidity=+5.29, temporal=+0.08}"
agent_1b04263216,Terra YMI Bank 156,Ymirterra,YMI,31936.2956,29432.554,1769.487,51251.3935,1.741317,0.386143,0.578493,71.581,71.581,0.0,"{legal=+53.60, liquidity=+5.70, social=+1.72, temporal=+0.00}"
agent_bdb5658df3,Kinetic JOR Bank 157,Jorvikmark,JOR,140884.6351,163085.5639,4739.0372,228924.3691,1.403707,0.495736,0.576412,484.5725,484.5725,0.0,"{legal=+371.22, liquidity=+22.33, social=+18.56, temporal=+0.08}"
agent_68f989a39f,Green BEL Bank 158,Belreich,BEL,627359.1558,742514.9328,26945.9334,288962.9522,0.389168,0.563616,0.510169,766.3539,766.3539,0.0,"{legal=+574.14, liquidity=+62.48, social=+16.45, temporal=+0.13}"
agent_69b0e20ebc,Blue ULM Bank 159,Ulmarreich,ULM,891412.8124,1060881.2153,40823.094,345944.7686,0.326092,0.566913,0.758954,1239.1147,1239.1147,0.0,"{legal=+943.39, liquidity=+60.44, social=+51.48, temporal=+0.32}"
agent_05b993f182,Vector YMI Bank 160,Ymirterra,YMI,62761.4819,74027.6024,2903.1808,56220.0798,0.759448,0.489499,0.606516,116.8217,116.8217,0.0,"{legal=+89.09, liquidity=+5.63, social=+4.74, temporal=+0.02}"
