region,commune,biome,population,wellbeing_proxy,avg_health,avg_education,avg_autonomy,avg_trust,truth_error,democratic_quality,water_stock,food_stock,energy_stock,shelter_capacity,health_capacity,care_capacity,education_capacity,mobility_capacity,manufacturing_capacity,storage_capacity,governance_capacity,knowledge_capacity,resilience_capacity,repair_materials,waste,soil_health,biodiversity,watershed,local_pollution,renewable_infrastructure,top_priority_domain,top_priority,top_labor_domain,top_labor_share
Coastal Wind Belt,CoastalW Commune 003,coastal_delta,161149340.134,0.982824,1.0,0.996238,0.885495,1.0,0.02,0.552792,0.0,38531087.356,0.0,7031648514.595,5939230632.421,5644822933.011,3885259022.481,2903406319.066,2386850094.133,4533426129.36,3824085012.774,5945645755.931,3582299676.365,132408366.087,3428429.809,1.0,1.0,1.0,0.000171,0.564381,water,0.893592,water,0.100025
Coastal Wind Belt,CoastalW Commune 378,coastal_delta,87718022.432,0.993856,1.0,1.0,0.959042,1.0,0.02,0.471192,482630155.972,915351793.605,66263237.963,5715938351.41,5421218739.375,5212110075.363,3693623072.458,3091898149.718,2029871791.161,3354200889.731,2800449545.439,5332860022.268,3011083668.043,459321772.614,1866190.698,1.0,1.0,1.0,9.3e-05,0.694976,ecology,0.598519,ecology,0.077427
Coastal Wind Belt,CoastalW Commune 384,coastal_delta,58434932.445,0.988851,1.0,0.982559,0.925674,1.0,0.02,0.509214,138115543.272,564682673.517,32659506.935,3493272409.469,3276724951.362,2749086094.127,1989928707.557,1678328933.966,1319404271.073,2194690497.595,1653247362.956,3063993686.903,2082610515.608,282952937.698,1243190.304,1.0,1.0,1.0,6.2e-05,0.550038,energy,0.655798,energy,0.081729
Coastal Wind Belt,CoastalW Commune 805,coastal_delta,72491653.935,0.997825,1.0,0.960149,0.9855,1.0,0.02,0.603218,66653702.417,270482874.072,37601302.253,3847515809.715,3395094859.115,3419571525.571,2674048192.172,1706267064.08,1324798706.193,2238180484.721,2078871665.613,3785707396.909,2354084377.431,136828816.903,1542234.28,1.0,1.0,1.0,7.7e-05,0.768094,energy,0.668318,energy,0.082629
Coastal Wind Belt,CoastalW Commune 692,coastal_delta,50339459.656,0.998337,1.0,0.990848,0.988911,1.0,0.02,0.857574,340257123.393,485665525.227,45183299.879,3278001558.819,3323834613.818,3006711770.77,2649650822.015,1711754228.667,1243720441.178,2076036647.365,2686728629.288,3159731939.446,2692583915.133,350800705.723,1070963.39,1.0,1.0,1.0,5.4e-05,0.857518,ecology,0.618076,ecology,0.077343
Subpolar Storage Rim,Subpolar Commune 756,mountain_water,123183895.569,0.962859,0.870138,1.0,0.882252,1.0,0.02,0.549268,92896479.358,59926715.93,81902776.264,4750522939.508,2580552861.54,3156193945.909,2339996084.777,1892910725.387,1798607938.28,3301359696.88,2430589146.761,4335173861.953,2312811623.057,383580134.109,2620842.107,1.0,1.0,1.0,0.000131,0.954342,food,0.717141,food,0.091223
Subpolar Storage Rim,Subpolar Commune 790,mountain_water,52407116.784,0.826658,0.241778,0.961167,0.846989,1.0,0.02,0.506326,0.0,0.0,0.0,1636612622.681,206632815.987,1068348549.523,586847770.73,84856655.305,555818136.075,889117168.636,554049136.651,1308053421.528,503203010.603,52661373.612,1125884.754,0.930155,0.997499,1.0,5.6e-05,0.679099,water,0.873271,food,0.103147
Subpolar Storage Rim,Subpolar Commune 837,mountain_water,116001127.497,0.996488,1.0,0.966264,0.976589,1.0,0.02,0.650263,121061726.483,58735143.946,25694640.885,6872942992.758,6016779861.379,5468367401.068,4513387829.321,3036761103.273,2144855322.565,3699883893.732,4168597318.76,5868888121.769,4178760674.533,125090332.721,2467887.154,1.0,1.0,1.0,0.000123,0.480902,energy,0.773184,energy,0.093893
Subpolar Storage Rim,Subpolar Commune 390,mountain_water,86879558.884,0.978266,0.859308,0.955734,0.9958,1.0,0.02,0.70036,37255692.394,0.0,22005400.838,3518021083.228,1829808674.78,2597108961.859,1686828338.301,863336857.123,1225531476.229,2178090230.673,1832197753.35,3104166194.653,2242397320.613,229109145.235,1848420.578,1.0,1.0,1.0,9.2e-05,0.868515,food,0.880022,food,0.104955
Subpolar Storage Rim,Subpolar Commune 669,mountain_water,134237321.573,0.886235,0.540344,0.967574,0.847965,1.0,0.02,0.669525,0.0,0.0,0.0,3517921641.659,633534498.864,1816303226.653,1502302183.903,497182926.911,1222417066.898,2200584202.448,1672647795.671,3025008865.903,1610604301.041,144137016.318,3092737.788,1.0,1.0,1.0,0.000155,0.977032,water,0.873202,food,0.103069
Subpolar Storage Rim,Subpolar Commune 578,mountain_water,66342961.871,0.999296,1.0,1.0,0.995305,1.0,0.02,0.72493,939899182.503,249411098.011,59490278.61,5588007120.686,6266009632.97,5685186458.929,4689072902.99,3097095647.573,2028699140.041,3419461903.095,3992700404.97,5385822687.298,4488456781.712,525653364.792,1411438.778,1.0,1.0,1.0,7.1e-05,0.704888,ecology,0.601529,ecology,0.078123
Subpolar Storage Rim,Subpolar Commune 902,mountain_water,86133923.282,0.99622,1.0,0.992638,0.974797,1.0,0.02,0.621999,175431154.431,73526124.832,65498344.864,6110513501.019,6345983725.95,5452201059.057,4451749186.579,3153673519.066,2096667143.68,3727929784.731,3894577474.587,5422685642.412,4422963312.86,378112312.966,1832485.397,1.0,1.0,1.0,9.2e-05,0.736014,ecology,0.594083,ecology,0.077294
Subpolar Storage Rim,Subpolar Commune 747,mountain_water,43026715.347,0.964538,0.912321,0.917101,0.851267,1.0,0.02,0.633875,20136736.908,7135522.984,20032471.097,1881177271.802,1184667200.664,1367131713.112,1051779248.02,646402597.097,635301551.959,973620527.276,863795706.233,1367233562.877,943742057.356,68673965.088,915395.194,0.911509,1.0,1.0,4.6e-05,0.994146,food,0.829077,food,0.101563
Island Commons,IslandCo Commune 279,steppe_grainland,99500972.793,0.996247,1.0,0.963767,0.974978,1.0,0.02,0.856874,85380489.671,185114864.841,67077794.087,4772315546.156,3969240024.262,4244751176.526,4108706167.615,2004432453.129,1753758339.538,3235707367.19,3402221375.1,4230419770.458,4222656818.053,162398422.877,2116850.123,1.0,1.0,1.0,0.000106,0.870582,energy,0.615415,energy,0.076314
Island Commons,IslandCo Commune 874,steppe_grainland,6416893.277,0.917738,0.610735,1.0,0.840849,1.0,0.02,0.692694,0.0,0.0,0.0,238912292.336,56243956.847,155751446.6,135830757.9,42565813.935,71179720.285,140145179.373,115780082.083,208422229.351,115030347.655,8414649.854,136537.254,0.647238,0.561125,0.542498,0.144062,0.541051,water,0.877534,food,0.101266
Island Commons,IslandCo Commune 839,steppe_grainland,28383169.198,0.984445,0.99451,0.977944,0.901788,1.0,0.02,0.680697,25233460.567,133444669.203,13275247.326,1325048217.669,1036791728.328,1047813713.205,1128104819.763,550322088.093,513232160.538,795489017.533,958560955.914,1420180109.412,988611604.357,89385780.992,603846.047,0.913271,0.82626,0.759241,3e-05,0.718856,energy,0.691555,energy,0.0853
Island Commons,IslandCo Commune 340,steppe_grainland,85086873.127,0.987507,1.0,0.995969,0.916713,1.0,0.02,0.676043,126244264.971,1257191484.494,64751934.973,4519883789.821,4653826357.952,4233105254.044,3780776878.998,2554823156.106,1731476538.259,3026981809.413,2782692575.868,4591852611.668,3090106896.147,371613042.527,1810211.261,1.0,1.0,1.0,9.1e-05,0.800708,ecology,0.603939,ecology,0.077624
Island Commons,IslandCo Commune 619,steppe_grainland,38109466.668,0.997099,1.0,0.977731,0.980659,1.0,0.02,0.781001,48402049.915,149234891.225,13058141.11,2227247216.026,2479630240.071,2666860737.888,2047046063.588,1048282608.14,614535273.887,1551766893.749,1590052112.186,2051499719.575,1876277552.024,6030612.497,810769.405,1.0,1.0,1.0,4.1e-05,0.526284,energy,0.736705,energy,0.090197
Island Commons,IslandCo Commune 706,steppe_grainland,68932642.318,0.998641,1.0,0.975963,0.99094,1.0,0.02,0.564062,865040458.064,2498999056.42,132828734.818,5403526813.502,5913526999.166,5996829159.652,3503905912.934,3357929625.798,1868768267.435,3493343078.804,2792751005.144,5058153726.018,3541761248.631,336299996.341,1466524.059,1.0,1.0,1.0,7.3e-05,0.872023,ecology,0.600543,ecology,0.079155
Island Commons,IslandCo Commune 594,steppe_grainland,39561659.055,0.991215,1.0,0.979942,0.941432,1.0,0.02,0.834468,70820392.008,678142548.605,49256296.795,2476230621.251,2495240490.529,2192592096.031,2037154988.942,1385791239.669,908240751.868,1491457054.166,1714597590.755,2471001186.69,1850943894.942,250352532.368,841664.957,1.0,1.0,1.0,4.2e-05,1.0,ecology,0.603886,ecology,0.077149
Island Commons,IslandCo Commune 239,steppe_grainland,11683976.403,0.975228,0.983762,1.0,0.851092,1.0,0.02,0.500229,8256110.999,38583361.942,8889397.493,626434338.912,536970943.574,538150423.203,341898896.896,286243530.677,222207914.608,359686938.266,330586392.033,651510734.633,341123851.256,53441116.892,248576.648,0.827571,0.733216,0.5475,0.129917,0.705865,ecology,0.656436,ecology,0.084701
Highland Care Ring,Highland Commune 541,subpolar_periphery,18176469.527,0.945642,0.713383,1.0,0.924228,1.0,0.02,0.580219,10865023.956,0.0,1396724.231,838690577.629,429928005.989,588814327.381,502138127.431,227509242.065,288737935.18,454375454.801,438739934.353,756724651.795,471347022.874,61627478.149,386741.057,0.69083,0.777053,0.926204,1.9e-05,0.555021,food,0.865606,food,0.104329
Highland Care Ring,Highland Commune 824,subpolar_periphery,22822180.41,0.919059,0.572777,0.988256,0.887615,1.0,0.02,0.740418,0.0,0.0,897420.163,802718806.616,379446918.266,575865012.639,538873333.141,239204296.941,304809213.989,524169017.499,535054818.809,862018722.578,505278655.291,79387018.814,485610.225,0.720029,0.880146,0.893402,2.4e-05,0.947951,water,0.8742,food,0.101741
Highland Care Ring,Highland Commune 139,subpolar_periphery,21191388.766,0.999829,1.0,1.0,0.99886,1.0,0.02,0.855743,70215006.943,8556047.023,19192578.035,1485466498.601,1794827768.563,1670499567.594,1523060641.478,905393337.707,571524065.653,1026957341.577,1230716817.589,1707736282.275,1339559653.625,134003096.353,450844.325,0.914542,0.924039,0.994684,2.3e-05,0.781443,food,0.751868,food,0.093694
Highland Care Ring,Highland Commune 291,subpolar_periphery,53631899.139,0.907894,0.42695,0.958305,0.959008,1.0,0.02,0.571835,0.0,0.0,0.0,1768446593.976,435966977.219,1027844621.066,807874246.033,275790403.457,600821486.361,1011554558.096,787217754.272,1450625064.298,809369816.097,101555488.527,1141227.918,0.82382,0.932091,0.948421,5.7e-05,0.938867,water,0.873385,food,0.102542
Highland Care Ring,Highland Commune 634,subpolar_periphery,58244252.898,0.827406,0.377493,0.935631,0.838316,1.0,0.02,0.57406,0.0,0.0,0.0,1838951987.831,669675655.564,1321353284.495,800257219.707,326756705.393,628816442.926,1189168352.303,877239221.727,1456424636.007,954249662.728,9344952.68,1257127.549,0.866935,0.89031,1.0,6.3e-05,0.625053,water,0.874848,food,0.103153
Highland Care Ring,Highland Commune 617,subpolar_periphery,10900810.031,0.920086,0.788242,0.994379,0.814709,1.0,0.02,0.629868,96867.925,0.0,1722888.837,531381113.491,414539469.126,372806384.505,329004261.891,181093636.982,173684595.214,310586782.802,278192103.061,496344467.279,246661980.613,32087548.65,233159.741,0.614162,0.603972,0.669727,0.081169,0.645139,water,0.875344,food,0.101617
Highland Care Ring,Highland Commune 128,subpolar_periphery,74862000.353,0.952196,0.768831,0.960966,0.912477,1.0,0.02,0.698439,35319538.499,0.0,28884236.495,2958306115.662,2037527920.814,2338878222.096,2071654996.497,861730161.808,1056280879.703,2013213186.666,1696831510.753,2807672501.225,2040984477.69,134476614.545,1592791.764,1.0,1.0,1.0,8e-05,1.0,food,0.872542,food,0.103699
Highland Care Ring,Highland Commune 710,subpolar_periphery,43186457.327,0.998618,0.996193,0.992922,0.994592,1.0,0.02,0.797441,146649833.454,27137533.559,34310141.008,2876800214.015,2636755559.483,2620198430.084,2343922255.09,1117019637.647,1079402838.653,1836998135.211,2226156294.815,2554670115.789,2384405206.522,261921558.535,918786.247,1.0,1.0,1.0,4.6e-05,0.577321,food,0.651382,food,0.083941
